Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Direct In
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,0
Fine Gain:,1
Upper Discriminator:,1048
Lower Discriminator:,52
Calibration Coefficients:Elapsed Real Time:,64800.0
Elapsed Live Time:,64774.99
Start Time:,February 23, 2016, 01:51:43
End Time:,February 24, 2016, 07:51:42
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,0
18,,0
19,,0
20,,0
21,,0
22,,0
23,,0
24,,0
25,,0
26,,0
27,,0
28,,1
29,,0
30,,0
31,,0
32,,0
33,,0
34,,0
35,,0
36,,0
37,,1
38,,0
39,,0
40,,0
41,,0
42,,0
43,,0
44,,1
45,,0
46,,5308
47,,28584
48,,27986
49,,27262
50,,26707
51,,26078
52,,25418
53,,24834
54,,24413
55,,23820
56,,23279
57,,22567
58,,21896
59,,21544
60,,21224
61,,20539
62,,20020
63,,19478
64,,19170
65,,18996
66,,18590
67,,18019
68,,17653
69,,17405
70,,17076
71,,16726
72,,16216
73,,16204
74,,15744
75,,15434
76,,15227
77,,15038
78,,14816
79,,14449
80,,14333
81,,13830
82,,14045
83,,13538
84,,13202
85,,13101
86,,12952
87,,12776
88,,12665
89,,12334
90,,12433
91,,12127
92,,11741
93,,11724
94,,11478
95,,11236
96,,10958
97,,10795
98,,10332
99,,10393
100,,10071
101,,9799
102,,9287
103,,9320
104,,8994
105,,8995
106,,8825
107,,8680
108,,8556
109,,8444
110,,8269
111,,8143
112,,8047
113,,7958
114,,7802
115,,7659
116,,7556
117,,7591
118,,7470
119,,7320
120,,7109
121,,6965
122,,6929
123,,6739
124,,6640
125,,6488
126,,6467
127,,6323
128,,6480
129,,6228
130,,6131
131,,6143
132,,6056
133,,6037
134,,6017
135,,5865
136,,5931
137,,5922
138,,5641
139,,5687
140,,5627
141,,5536
142,,5322
143,,5335
144,,5388
145,,5213
146,,5142
147,,4949
148,,4960
149,,4763
150,,4781
151,,4620
152,,4693
153,,4567
154,,4607
155,,4388
156,,4260
157,,4242
158,,4315
159,,4258
160,,4175
161,,4176
162,,4189
163,,4130
164,,4119
165,,3971
166,,4086
167,,4082
168,,3867
169,,3890
170,,3878
171,,3797
172,,3785
173,,3849
174,,3783
175,,3789
176,,3669
177,,3805
178,,3730
179,,3678
180,,3635
181,,3585
182,,3702
183,,3624
184,,3628
185,,3653
186,,3506
187,,3604
188,,3651
189,,3466
190,,3507
191,,3595
192,,3399
193,,3385
194,,3387
195,,3486
196,,3476
197,,3589
198,,3514
199,,3575
200,,3569
201,,3475
202,,3730
203,,3554
204,,3547
205,,3489
206,,3492
207,,3432
208,,3477
209,,3473
210,,3329
211,,3366
212,,3263
213,,3285
214,,3214
215,,3172
216,,3070
217,,3059
218,,3026
219,,3038
220,,2853
221,,2935
222,,2913
223,,2807
224,,2874
225,,2878
226,,2853
227,,2857
228,,2989
229,,2828
230,,2943
231,,2889
232,,2906
233,,2909
234,,2909
235,,2940
236,,2883
237,,2870
238,,2973
239,,3030
240,,2860
241,,2955
242,,2884
243,,2774
244,,2785
245,,2775
246,,2656
247,,2710
248,,2514
249,,2591
250,,2526
251,,2470
252,,2390
253,,2375
254,,2389
255,,2391
256,,2251
257,,2231
258,,2286
259,,2093
260,,2116
261,,2097
262,,2011
263,,2077
264,,2057
265,,1966
266,,1944
267,,1970
268,,1923
269,,1939
270,,2017
271,,1948
272,,1894
273,,1956
274,,1824
275,,1961
276,,1888
277,,1867
278,,1850
279,,1818
280,,1843
281,,1818
282,,1917
283,,1769
284,,1834
285,,1844
286,,1788
287,,1794
288,,1846
289,,1737
290,,1819
291,,1800
292,,1789
293,,1828
294,,1729
295,,1752
296,,1738
297,,1790
298,,1684
299,,1789
300,,1752
301,,1652
302,,1779
303,,1722
304,,1690
305,,1677
306,,1643
307,,1692
308,,1720
309,,1681
310,,1673
311,,1605
312,,1616
313,,1684
314,,1690
315,,1638
316,,1559
317,,1620
318,,1555
319,,1536
320,,1603
321,,1625
