Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Direct In
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,0
Fine Gain:,1
Upper Discriminator:,1048
Lower Discriminator:,52
Calibration Coefficients:Elapsed Real Time:,1200.0
Elapsed Live Time:,1185.05
Start Time:,February 23, 2016, 12:44:49
End Time:,February 23, 2016, 01:04:49
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,0
18,,0
19,,0
20,,0
21,,0
22,,0
23,,0
24,,0
25,,0
26,,0
27,,0
28,,0
29,,0
30,,0
31,,0
32,,0
33,,0
34,,0
35,,0
36,,1
37,,2
38,,3
39,,2
40,,2
41,,2
42,,2
43,,1
44,,4
45,,6
46,,1141
47,,5615
48,,5780
49,,5786
50,,5692
51,,5806
52,,5705
53,,5685
54,,5652
55,,5548
56,,5444
57,,5664
58,,5472
59,,5528
60,,5371
61,,5532
62,,5587
63,,5649
64,,5641
65,,5804
66,,6026
67,,6163
68,,6269
69,,6444
70,,6722
71,,6795
72,,7170
73,,7223
74,,7247
75,,7494
76,,7500
77,,7605
78,,7569
79,,7451
80,,7780
81,,7816
82,,7713
83,,7666
84,,7529
85,,7597
86,,7504
87,,7320
88,,7703
89,,7345
90,,7342
91,,7098
92,,7212
93,,7112
94,,6975
95,,6953
96,,6865
97,,6836
98,,6743
99,,6823
100,,6555
101,,6537
102,,6360
103,,6457
104,,6328
105,,6220
106,,6128
107,,6138
108,,6072
109,,5838
110,,6056
111,,5924
112,,5653
113,,5802
114,,5731
115,,5679
116,,5638
117,,5482
118,,5543
119,,5645
120,,5283
121,,5353
122,,5201
123,,5310
124,,5091
125,,5202
126,,5132
127,,5038
128,,5051
129,,5042
130,,5001
131,,5060
132,,4939
133,,4850
134,,4836
135,,4805
136,,4811
137,,4806
138,,4616
139,,4744
140,,4786
141,,4805
142,,4705
143,,4737
144,,4780
145,,4810
146,,4641
147,,4532
148,,4763
149,,4696
150,,4523
151,,4543
152,,4677
153,,4730
154,,4496
155,,4580
156,,4726
157,,4696
158,,4760
159,,4693
160,,4867
161,,4848
162,,4929
163,,4778
164,,4639
165,,4751
166,,4962
167,,4935
168,,4843
169,,4802
170,,4812
171,,4646
172,,4731
173,,4551
174,,4411
175,,4171
176,,4189
177,,4024
178,,3762
179,,3659
180,,3418
181,,3158
182,,3016
183,,2849
184,,2671
185,,2571
186,,2290
187,,2232
188,,2058
189,,2006
190,,1831
191,,1702
192,,1617
193,,1509
194,,1439
195,,1413
196,,1299
197,,1301
198,,1224
199,,1102
200,,1108
201,,1074
202,,997
203,,936
204,,859
205,,898
206,,860
207,,827
208,,815
209,,788
210,,799
211,,709
212,,764
213,,700
214,,678
215,,660
216,,645
217,,617
218,,635
219,,623
220,,602
221,,596
222,,590
223,,530
224,,611
225,,578
226,,610
227,,600
228,,635
229,,651
230,,736
231,,810
232,,878
233,,920
234,,1150
235,,1287
236,,1446
237,,1653
238,,1923
239,,2239
240,,2562
241,,2963
242,,3519
243,,4084
244,,4669
245,,5361
246,,6008
247,,6763
248,,7718
249,,8710
250,,9486
251,,10836
252,,11889
253,,12916
254,,13946
255,,15217
256,,16272
257,,17708
258,,18555
259,,19782
260,,20756
261,,21533
262,,21908
263,,22118
264,,22604
265,,22470
266,,22123
267,,21607
268,,21148
269,,20008
270,,19090
271,,17952
272,,16657
273,,15028
274,,13716
275,,12524
276,,10900
277,,9366
278,,8221
279,,6924
280,,5922
281,,4900
282,,3997
283,,3287
284,,2677
285,,2044
286,,1628
287,,1212
288,,947
289,,779
290,,583
291,,447
292,,292
293,,226
294,,172
295,,132
296,,111
297,,77
298,,83
299,,64
300,,58
301,,62
302,,40
303,,59
304,,30
305,,32
306,,41
307,,42
308,,47
309,,32
310,,60
311,,47
312,,28
313,,55
314,,30
315,,62
316,,42
317,,44
318,,41
319,,38
320,,42
321,,32
322,,36
323,,40
324,,32
325,,40
326,,48
327,,38
328,,43
329,,36
330,,33
331,,40
332,,36
333,,28
334,,38
