Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Direct In
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,0
Fine Gain:,1
Upper Discriminator:,1048
Lower Discriminator:,52
Calibration Coefficients:Elapsed Real Time:,1200.0
Elapsed Live Time:,1185.42
Start Time:,February 23, 2016, 01:06:32
End Time:,February 23, 2016, 01:26:32
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,0
18,,0
19,,0
20,,0
21,,0
22,,0
23,,0
24,,0
25,,0
26,,0
27,,0
28,,1
29,,0
30,,0
31,,1
32,,0
33,,0
34,,0
35,,1
36,,0
37,,0
38,,1
39,,3
40,,2
41,,1
42,,2
43,,0
44,,3
45,,5
46,,717
47,,3494
48,,3527
49,,3448
50,,3485
51,,3447
52,,3448
53,,3552
54,,3428
55,,3414
56,,3455
57,,3494
58,,3467
59,,3453
60,,3337
61,,3386
62,,3385
63,,3237
64,,3374
65,,3377
66,,3325
67,,3250
68,,3265
69,,3308
70,,3335
71,,3329
72,,3357
73,,3429
74,,3425
75,,3417
76,,3495
77,,3535
78,,3740
79,,3897
80,,3816
81,,3850
82,,3991
83,,4123
84,,4164
85,,4191
86,,4426
87,,4449
88,,4387
89,,4317
90,,4428
91,,4420
92,,4434
93,,4451
94,,4533
95,,4405
96,,4386
97,,4361
98,,4380
99,,4326
100,,4393
101,,4276
102,,4409
103,,4285
104,,4316
105,,4232
106,,4164
107,,4295
108,,4245
109,,4105
110,,3966
111,,4041
112,,3966
113,,3975
114,,3948
115,,3972
116,,3953
117,,3947
118,,3795
119,,3877
120,,3729
121,,3788
122,,3768
123,,3763
124,,3596
125,,3528
126,,3563
127,,3478
128,,3459
129,,3535
130,,3427
131,,3422
132,,3275
133,,3207
134,,3255
135,,3268
136,,3254
137,,3102
138,,3199
139,,3149
140,,3106
141,,3096
142,,3010
143,,3109
144,,3025
145,,3024
146,,3073
147,,2966
148,,2876
149,,2852
150,,2793
151,,2756
152,,2867
153,,2796
154,,2911
155,,2873
156,,2698
157,,2645
158,,2698
159,,2641
160,,2639
161,,2654
162,,2629
163,,2663
164,,2609
165,,2573
166,,2531
167,,2591
168,,2476
169,,2572
170,,2551
171,,2514
172,,2456
173,,2524
174,,2512
175,,2477
176,,2435
177,,2495
178,,2383
179,,2448
180,,2415
181,,2379
182,,2395
183,,2355
184,,2415
185,,2336
186,,2391
187,,2273
188,,2402
189,,2284
190,,2262
191,,2253
192,,2353
193,,2280
194,,2343
195,,2314
196,,2325
197,,2334
198,,2304
199,,2348
200,,2352
201,,2209
202,,2299
203,,2210
204,,2297
205,,2287
206,,2240
207,,2272
208,,2299
209,,2145
210,,2224
211,,2243
212,,2187
213,,2144
214,,2128
215,,2102
216,,2115
217,,2214
218,,2174
219,,2149
220,,2097
221,,2144
222,,2113
223,,2104
224,,2117
225,,2142
226,,2107
227,,2030
228,,2123
229,,2168
230,,2158
231,,2073
232,,2049
233,,2095
234,,2066
235,,2121
236,,2066
237,,2065
238,,2157
239,,2054
240,,2099
241,,2042
242,,2202
243,,2117
244,,2082
245,,2079
246,,2031
247,,2072
248,,2057
249,,2087
250,,2091
251,,2072
252,,2078
253,,2027
254,,2083
255,,2030
256,,2036
257,,1988
258,,2046
259,,2082
260,,2121
261,,2098
262,,2109
263,,2024
264,,2127
265,,2106
266,,2083
267,,1986
268,,2104
269,,2083
270,,2138
271,,2003
272,,2092
273,,2029
274,,2073
275,,2129
276,,2144
277,,2166
278,,2111
279,,2023
280,,2086
281,,2092
282,,2023
283,,2114
284,,1985
285,,2085
286,,2115
287,,2077
288,,2192
289,,2117
290,,2127
291,,2062
292,,2108
293,,2182
294,,2166
295,,2127
296,,2163
297,,2179
298,,2206
299,,2176
300,,2204
301,,2230
302,,2116
303,,2090
304,,2172
305,,2243
306,,2151
307,,2206
308,,2254
309,,2197
310,,2212
311,,2318
312,,2189
313,,2215
314,,2335
315,,2327
316,,2351
317,,2346
318,,2272
319,,2299
320,,2333
321,,2440
