Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Direct In
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,0
Fine Gain:,1
Upper Discriminator:,1048
Lower Discriminator:,52
Calibration Coefficients:Elapsed Real Time:,1200.0
Elapsed Live Time:,1184.91
Start Time:,February 23, 2016, 01:29:00
End Time:,February 23, 2016, 01:49:00
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,0
18,,0
19,,0
20,,0
21,,1
22,,0
23,,0
24,,0
25,,0
26,,0
27,,0
28,,0
29,,0
30,,0
31,,1
32,,1
33,,0
34,,0
35,,1
36,,1
37,,2
38,,3
39,,4
40,,6
41,,1
42,,2
43,,5
44,,4
45,,5
46,,1082
47,,5609
48,,5395
49,,5559
50,,5488
51,,5438
52,,5468
53,,5500
54,,5353
55,,5360
56,,5366
57,,5356
58,,5598
59,,5586
60,,5642
61,,5890
62,,5934
63,,6166
64,,6158
65,,6421
66,,6571
67,,6717
68,,6775
69,,6920
70,,7063
71,,7106
72,,7060
73,,7240
74,,7163
75,,7317
76,,7191
77,,7324
78,,7391
79,,7185
80,,7215
81,,7223
82,,7246
83,,7213
84,,7084
85,,7060
86,,7033
87,,6991
88,,6715
89,,6906
90,,6729
91,,6787
92,,6620
93,,6631
94,,6422
95,,6409
96,,6223
97,,6227
98,,6222
99,,6300
100,,6296
101,,6154
102,,6031
103,,6114
104,,6003
105,,5992
106,,5806
107,,5883
108,,5873
109,,5796
110,,5630
111,,5839
112,,5691
113,,5671
114,,5760
115,,5855
116,,5690
117,,5436
118,,5540
119,,5667
120,,5373
121,,5231
122,,5132
123,,4974
124,,4824
125,,4659
126,,4501
127,,4276
128,,4054
129,,3904
130,,3742
131,,3551
132,,3289
133,,3199
134,,3043
135,,2903
136,,2722
137,,2627
138,,2561
139,,2446
140,,2420
141,,2256
142,,2162
143,,2098
144,,2085
145,,2078
146,,2053
147,,1899
148,,1914
149,,1841
150,,1876
151,,1796
152,,1755
153,,1752
154,,1734
155,,1642
156,,1643
157,,1605
158,,1582
159,,1613
160,,1569
161,,1538
162,,1557
163,,1541
164,,1514
165,,1481
166,,1503
167,,1540
168,,1469
169,,1517
170,,1523
171,,1542
172,,1497
173,,1550
174,,1561
175,,1602
176,,1691
177,,1770
178,,1884
179,,2118
180,,2318
181,,2616
182,,2948
183,,3286
184,,3820
185,,4459
186,,5105
187,,6021
188,,6778
189,,7693
190,,9081
191,,9850
192,,11155
193,,12647
194,,14109
195,,15529
196,,16889
197,,18339
198,,19500
199,,20978
200,,21914
201,,22598
202,,22984
203,,23710
204,,23789
205,,23443
206,,22534
207,,21733
208,,20576
209,,19693
210,,18031
211,,16225
212,,14755
213,,13005
214,,11086
215,,9623
216,,8032
217,,6709
218,,5533
219,,4599
220,,3604
221,,3004
222,,2447
223,,1897
224,,1565
225,,1337
226,,1232
227,,1106
228,,981
229,,906
230,,855
231,,788
232,,830
233,,801
234,,782
235,,806
236,,802
237,,784
238,,768
239,,773
240,,779
241,,741
242,,753
243,,745
244,,741
245,,793
246,,724
247,,687
248,,754
249,,706
250,,741
251,,731
252,,714
253,,773
254,,736
255,,744
256,,733
257,,682
258,,774
259,,694
260,,754
261,,752
262,,707
263,,762
264,,760
265,,781
266,,721
267,,744
268,,779
269,,764
270,,695
271,,767
272,,739
273,,764
274,,750
275,,731
276,,822
277,,761
278,,766
279,,756
280,,740
281,,752
282,,768
283,,770
284,,736
285,,763
286,,745
287,,754
288,,743
289,,705
290,,724
291,,745
292,,682
293,,761
294,,769
295,,718
296,,743
297,,743
298,,755
299,,776
300,,699
301,,736
302,,772
303,,716
304,,714
305,,709
306,,820
307,,796
308,,746
309,,770
310,,727
311,,760
312,,759
313,,746
314,,748
315,,808
316,,758
317,,822
318,,764
319,,782
320,,759
321,,796
322,,836
323,,797
324,,786
325,,757
326,,742
327,,794
328,,790
329,,791
330,,747
331,,787
332,,798
333,,829
334,,780
335,,795
336,,789
337,,770
338,,798
339,,846
