Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Direct In
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,0
Fine Gain:,1
Upper Discriminator:,1048
Lower Discriminator:,52
Calibration Coefficients:Elapsed Real Time:,7200.0
Elapsed Live Time:,7188.5
Start Time:,February 23, 2016, 10:42:58
End Time:,February 23, 2016, 12:42:58
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,0
18,,0
19,,0
20,,0
21,,0
22,,0
23,,0
24,,0
25,,0
26,,0
27,,0
28,,0
29,,0
30,,0
31,,0
32,,0
33,,1
34,,0
35,,0
36,,1
37,,0
38,,0
39,,1
40,,0
41,,0
42,,0
43,,0
44,,1
45,,1
46,,2883
47,,15214
48,,15100
49,,14706
50,,14603
51,,14098
52,,13792
53,,13608
54,,13253
55,,12924
56,,12615
57,,12248
58,,12256
59,,11807
60,,11394
61,,11204
62,,11002
63,,10652
64,,10339
65,,10077
66,,9911
67,,9692
68,,9430
69,,9155
70,,8980
71,,8940
72,,8722
73,,8326
74,,8365
75,,8376
76,,8010
77,,8018
78,,7857
79,,7661
80,,7516
81,,7256
82,,7409
83,,7177
84,,6983
85,,6946
86,,6971
87,,6741
88,,6517
89,,6593
90,,6551
91,,6448
92,,6404
93,,6169
94,,5981
95,,5979
96,,5759
97,,5684
98,,5523
99,,5354
100,,5221
101,,4915
102,,4866
103,,4710
104,,4550
105,,4542
106,,4404
107,,4355
108,,4268
109,,4171
110,,4073
111,,3841
112,,3935
113,,3879
114,,3846
115,,3691
116,,3634
117,,3576
118,,3476
119,,3421
120,,3397
121,,3369
122,,3274
123,,3094
124,,3060
125,,2971
126,,3027
127,,2914
128,,2919
129,,2831
130,,2886
131,,2788
132,,2738
133,,2693
134,,2616
135,,2634
136,,2592
137,,2550
138,,2512
139,,2445
140,,2428
141,,2383
142,,2311
143,,2350
144,,2309
145,,2221
146,,2132
147,,2077
148,,2053
149,,2016
150,,1923
151,,1913
152,,1917
153,,1878
154,,1818
155,,1763
156,,1792
157,,1771
158,,1688
159,,1738
160,,1647
161,,1704
162,,1592
163,,1591
164,,1484
165,,1553
166,,1596
167,,1533
168,,1506
169,,1542
170,,1453
171,,1497
172,,1501
173,,1498
174,,1432
175,,1398
176,,1311
177,,1395
178,,1345
179,,1346
180,,1325
181,,1323
182,,1336
183,,1316
184,,1301
185,,1201
186,,1205
187,,1296
188,,1162
189,,1263
190,,1250
191,,1219
192,,1197
193,,1196
194,,1181
195,,1177
196,,1207
197,,1193
198,,1158
199,,1132
200,,1125
201,,1162
202,,1121
203,,1141
204,,1109
205,,1130
206,,1136
207,,1077
208,,1141
209,,1047
210,,1086
211,,1046
212,,1004
213,,1031
214,,1000
215,,993
216,,978
217,,1007
218,,995
219,,991
220,,976
221,,996
222,,949
223,,991
224,,949
225,,899
226,,995
227,,955
228,,942
229,,959
230,,1016
231,,989
232,,1016
233,,979
234,,993
235,,996
236,,998
237,,951
238,,926
239,,904
240,,950
241,,970
242,,946
243,,946
244,,919
245,,848
246,,935
247,,921
248,,881
249,,846
250,,831
251,,859
252,,803
253,,801
254,,800
255,,778
256,,713
257,,719
258,,696
259,,655
260,,689
261,,649
262,,639
263,,666
264,,617
265,,681
266,,650
267,,619
268,,639
269,,587
270,,610
271,,656
272,,646
273,,610
274,,628
275,,626
276,,613
277,,627
278,,615
279,,599
280,,634
281,,600
282,,594
283,,621
284,,610
285,,622
286,,547
287,,597
288,,568
289,,580
290,,564
291,,579
292,,578
293,,594
294,,571
295,,573
296,,551
297,,559
298,,538
299,,560
300,,546
301,,560
302,,583
303,,548
304,,584
305,,567
306,,591
307,,556
308,,550
309,,567
310,,575
311,,556
312,,539
313,,501
314,,567
315,,527
316,,488
317,,572
318,,516
319,,557
320,,531
321,,511
322,,534
323,,505
324,,520
325,,515
326,,561
327,,470
328,,492
329,,548
330,,493
331,,519
332,,541
333,,444
334,,483
335,,493
336,,530
337,,507
338,,528
339,,507
340,,488
341,,484
